,Gender,Age,Annual_income,Spending_score,Cluster
0,Male,19,15,39,2
1,Male,21,15,81,2
2,Female,20,16,6,2
3,Female,23,16,77,2
4,Female,31,17,40,2
5,Female,22,17,76,2
6,Female,35,18,6,0
7,Female,23,18,94,2
8,Male,64,19,3,0
9,Female,30,19,72,2
10,Male,67,19,14,0
11,Female,35,19,99,2
12,Female,58,20,15,0
13,Female,24,20,77,2
14,Male,37,20,13,0
15,Male,22,20,79,2
16,Female,35,21,35,2
17,Male,20,21,66,2
18,Male,52,23,29,0
19,Female,35,23,98,2
20,Male,35,24,35,2
21,Male,25,24,73,2
22,Female,46,25,5,0
23,Male,31,25,73,2
24,Female,54,28,14,0
25,Male,29,28,82,2
26,Female,45,28,32,0
27,Male,35,28,61,2
28,Female,40,29,31,0
29,Female,23,29,87,2
30,Male,60,30,4,0
31,Female,21,30,73,2
32,Male,53,33,4,0
33,Male,18,33,92,2
34,Female,49,33,14,0
35,Female,21,33,81,2
36,Female,42,34,17,0
37,Female,30,34,73,2
38,Female,36,37,26,0
39,Female,20,37,75,2
40,Female,65,38,35,0
41,Male,24,38,92,2
42,Male,48,39,36,0
43,Female,31,39,61,2
44,Female,49,39,28,0
45,Female,24,39,65,2
46,Female,50,40,55,0
47,Female,27,40,47,2
48,Female,29,40,42,2
49,Female,31,40,42,2
50,Female,49,42,52,0
51,Male,33,42,60,2
52,Female,31,43,54,2
53,Male,59,43,60,0
54,Female,50,43,45,0
55,Male,47,43,41,0
56,Female,51,44,50,0
57,Male,69,44,46,0
58,Female,27,46,51,2
59,Male,53,46,46,0
60,Male,70,46,56,0
61,Male,19,46,55,2
62,Female,67,47,52,0
63,Female,54,47,59,0
64,Male,63,48,51,0
65,Male,18,48,59,2
66,Female,43,48,50,0
67,Female,68,48,48,0
68,Male,19,48,59,2
69,Female,32,48,47,2
70,Male,70,49,55,0
71,Female,47,49,42,0
72,Female,60,50,49,0
73,Female,60,50,56,0
74,Male,59,54,47,0
75,Male,26,54,54,2
76,Female,45,54,53,0
77,Male,40,54,48,0
78,Female,23,54,52,2
79,Female,49,54,42,0
80,Male,57,54,51,0
81,Male,38,54,55,2
82,Male,67,54,41,0
83,Female,46,54,44,0
84,Female,21,54,57,2
85,Male,48,54,46,0
86,Female,55,57,58,0
87,Female,22,57,55,2
88,Female,34,58,60,2
89,Female,50,58,46,0
90,Female,68,59,55,0
91,Male,18,59,41,2
92,Male,48,60,49,0
93,Female,40,60,40,0
94,Female,32,60,42,2
95,Male,24,60,52,2
96,Female,47,60,47,0
97,Female,27,60,50,2
98,Male,48,61,42,0
99,Male,20,61,49,2
100,Female,23,62,41,2
101,Female,49,62,48,0
102,Male,67,62,59,0
103,Male,26,62,55,2
104,Male,49,62,56,0
105,Female,21,62,42,2
106,Female,66,63,50,0
107,Male,54,63,46,0
108,Male,68,63,43,0
109,Male,66,63,48,0
110,Male,65,63,52,0
111,Female,19,63,54,2
112,Female,38,64,42,3
113,Male,19,64,46,2
114,Female,18,65,48,2
115,Female,19,65,50,2
116,Female,63,65,43,0
117,Female,49,65,59,0
118,Female,51,67,43,0
119,Female,50,67,57,0
120,Male,27,67,56,2
121,Female,38,67,40,3
122,Female,40,69,58,1
123,Male,39,69,91,1
124,Female,23,70,29,3
125,Female,31,70,77,1
126,Male,43,71,35,3
127,Male,40,71,95,1
128,Male,59,71,11,0
129,Male,38,71,75,1
130,Male,47,71,9,3
131,Male,39,71,75,1
132,Female,25,72,34,3
133,Female,31,72,71,1
134,Male,20,73,5,3
135,Female,29,73,88,1
136,Female,44,73,7,3
137,Male,32,73,73,1
138,Male,19,74,10,3
139,Female,35,74,72,1
140,Female,57,75,5,3
141,Male,32,75,93,1
142,Female,28,76,40,3
143,Female,32,76,87,1
144,Male,25,77,12,3
145,Male,28,77,97,1
146,Male,48,77,36,3
147,Female,32,77,74,1
148,Female,34,78,22,3
149,Male,34,78,90,1
150,Male,43,78,17,3
151,Male,39,78,88,1
152,Female,44,78,20,3
153,Female,38,78,76,1
154,Female,47,78,16,3
155,Female,27,78,89,1
156,Male,37,78,1,3
157,Female,30,78,78,1
158,Male,34,78,1,3
159,Female,30,78,73,1
160,Female,56,79,35,0
161,Female,29,79,83,1
162,Male,19,81,5,3
163,Female,31,81,93,1
164,Male,50,85,26,3
165,Female,36,85,75,1
166,Male,42,86,20,3
167,Female,33,86,95,1
168,Female,36,87,27,3
169,Male,32,87,63,1
170,Male,40,87,13,3
171,Male,28,87,75,1
172,Male,36,87,10,3
173,Male,36,87,92,1
174,Female,52,88,13,3
175,Female,30,88,86,1
176,Male,58,88,15,3
177,Male,27,88,69,1
178,Male,59,93,14,3
179,Male,35,93,90,1
180,Female,37,97,32,3
181,Female,32,97,86,1
182,Male,46,98,15,3
183,Female,29,98,88,1
184,Female,41,99,39,3
185,Male,30,99,97,1
186,Female,54,101,24,3
187,Male,28,101,68,1
188,Female,41,103,17,3
189,Female,36,103,85,1
190,Female,34,103,23,3
191,Female,32,103,69,1
192,Male,33,113,8,3
193,Female,38,113,91,1
194,Female,47,120,16,3
195,Female,35,120,79,1
196,Female,45,126,28,3
197,Male,32,126,74,1
198,Male,32,137,18,3
199,Male,30,137,83,1
